Guide ID,Guide Title,Guide Category,Guide Summary,Tool Name,Use When,Skip When,Sort Order
GUIDE-001,Everyday AI assistants,Assistants,"Pick ChatGPT, Claude, Gemini, or Perplexity for the job.",ChatGPT,"Everyday writing, brainstorming, quick coding help, and general Q&A.","When you need citations, very long documents, or Workspace-native workflows.",1
GUIDE-001,Everyday AI assistants,Assistants,"Pick ChatGPT, Claude, Gemini, or Perplexity for the job.",Claude,"Long-document analysis, careful writing, complex reasoning, and coding reviews.","When you mainly need live web citations or quick everyday chat.",2
GUIDE-001,Everyday AI assistants,Assistants,"Pick ChatGPT, Claude, Gemini, or Perplexity for the job.",Gemini,"Google Workspace workflows, multimodal understanding, and search-linked research.","As the team default for writing/reasoning until Workspace data handling is confirmed for client work.",3
GUIDE-001,Everyday AI assistants,Assistants,"Pick ChatGPT, Claude, Gemini, or Perplexity for the job.",Perplexity,"Fast web research with citations and fact-finding before deeper analysis.","When synthesizing your own docs, polishing prose, or deep coding — verify every citation.",4
GUIDE-002,Coding assistants,AI Coding,Choose the right coding surface for the task.,GitHub Copilot,"Inline completions and light pair-programming inside GitHub/IDEs.","Multi-file project-aware work — prefer Cursor.",1
GUIDE-002,Coding assistants,AI Coding,Choose the right coding surface for the task.,Cursor,"Day-to-day software delivery, refactors, and project-aware coding.","When you want a fully agent-first session — try Antigravity.",2
GUIDE-002,Coding assistants,AI Coding,Choose the right coding surface for the task.,Antigravity,"Agentic coding and accelerated development already used in delivery.","When you need tight IDE-centric control — prefer Cursor; review every agent change.",3
GUIDE-002,Coding assistants,AI Coding,Choose the right coding surface for the task.,Windsurf,"Evaluating an alternate AI IDE / agentic editor versus Cursor.","As a replacement for Cursor/Antigravity until Testing finishes — keep client secrets out.",4
GUIDE-002,Coding assistants,AI Coding,Choose the right coding surface for the task.,Claude,"Careful coding reviews and reasoning outside the IDE.","As a substitute for Cursor on multi-file repo work.",5
GUIDE-003,Research & knowledge,Research,Match the research tool to your source of truth.,Perplexity,Open-web discovery and cited fact-finding.,Primary research you must verify from originals; confidential briefs.,1
GUIDE-003,Research & knowledge,Research,Match the research tool to your source of truth.,NotebookLM,"Q&A and briefings grounded in uploaded docs, notes, and source packs.",Open-web research; client-confidential uploads without approval.,2
GUIDE-003,Research & knowledge,Research,Match the research tool to your source of truth.,ChatGPT,Synthesizing notes into drafts after you already have sources.,When citations or live web grounding are required.,3
GUIDE-003,Research & knowledge,Research,Match the research tool to your source of truth.,Claude,Deep analysis of long research packs and careful report writing.,Quick cited web lookup — start with Perplexity.,4
