Prompt ID,Title,Category,Use Case,Prompt Text,Model,Owner,Date Added,Role
PRM-001,Meeting summary,Productivity,Meeting Notes,"Summarize these meeting notes into: (1) decisions, (2) action items with owners and due dates, (3) open questions. Flag anything ambiguous.",Claude;ChatGPT,Admin,2026-07-07,Everyone
PRM-002,Client email draft,Productivity,Email Writing,"Draft a clear, professional client email. Tone: helpful and direct. Include a short subject line, 3–5 sentence body, and one clear ask or next step. Context: {{context}}",ChatGPT;Claude,Admin,2026-08-05,Everyone
PRM-003,Code review checklist,AI Coding,Code Review,"Review this diff like a senior engineer. List: (1) bugs or regressions, (2) security/secrets risks, (3) missing tests, (4) readability issues, (5) suggested fixes. Be specific to line-level changes.",Claude;Cursor,Admin,2026-08-05,Engineering
PRM-004,Refactor plan,AI Coding,Coding,"Given this codebase context, propose a safe refactor plan in small PRs. For each step: goal, files touched, risks, and how to verify. Prefer incremental changes over a big rewrite.",Cursor;Claude,Admin,2026-08-05,Engineering
PRM-005,Scrape brief,Scraping & automation,Web Scraping,"Turn this scraping request into a brief: target URLs, fields to extract, rate limits, ToS/robots constraints, output schema (JSON), and failure modes. Do not invent access to blocked pages.",ChatGPT;Claude,Admin,2026-08-05,Engineering
PRM-006,Power BI narrative,Data & BI,Report Writing,"Write a short executive narrative for this Power BI visual/metric set. Cover: what changed, why it might have changed, and 2 questions for the business owner. Do not invent numbers not present in the data.",ChatGPT;Power BI Copilot,Admin,2026-08-05,Data
PRM-007,SQL explore,Data & BI,SQL,"Given this table schema, propose 3 useful exploratory SQL queries and what each would teach us. Assume read-only access. Flag joins that could explode row counts.",ChatGPT;Claude,Admin,2026-08-05,Data
PRM-008,Research brief,Research,Deep Research,"Research {{topic}}. Return: key findings with sources, what is still uncertain, and a recommended next step for our team. Prefer primary sources over blogs.",Perplexity,Admin,2026-08-05,Everyone
PRM-009,RAG chunk plan,AI agents & RAG,Knowledge Management,"Design a chunking and metadata plan for this document set for a RAG chatbot. Include chunk size guidance, metadata fields, and evaluation questions to catch hallucinations.",Claude;ChatGPT,Admin,2026-08-05,Engineering
PRM-010,Status update,Productivity,Documentation,"Rewrite these rough notes into a crisp weekly status update: Done / Doing / Blocked / Ask. Max 120 words. No fluff.",ChatGPT;Claude,Admin,2026-08-05,Everyone
PRM-011,Deck outline,Creative & productivity,Presentation,"Create a 6-slide outline for {{audience}} about {{topic}}. Each slide: title + 3 bullets max. End with a clear ask.",ChatGPT;Gamma,Admin,2026-08-05,Management
PRM-012,Support reply,Productivity,Email Writing,"Draft a support reply that acknowledges the issue, explains the next step, and sets expectation on timing. Empathetic but concise. Context: {{ticket}}",Claude;ChatGPT,Admin,2026-08-05,Operations
PRM-013,Pre-prod leftover scan,AI Coding,Pre-prod checklist,"Scan the current changes / open files / git diff for leftovers that must NOT ship to production. Flag and list with file + line guidance: (1) temporary test code or hard-coded test values, (2) debug logs console.log / print / debugger / TODO-test, (3) commented-out code left for 'just in case', (4) feature flags or if (false) / if (true) test branches, (5) mock data bypasses auth skips or forced returns, (6) secrets API keys or localhost URLs that should be env-based, (7) WIP comments like 'remove before prod' or 'testing only'. For each finding: severity (Blocker/Warn), why it is risky, and the exact cleanup action. If clean, say so explicitly. Do not refactor unrelated code.",Cursor;Antigravity;Claude,Admin,2026-08-05,Engineering
PRM-014,Pre-merge hygiene checklist,AI Coding,Pre-prod checklist,"Before I open / merge this PR, review the diff like a production gate. Answer only: (1) Any test-only changes still present? (2) Any commented blocks that should be deleted not kept? (3) Any behavior that differs from production intent (hard-coded IDs, skip validation, sample data)? (4) Any logging that is too noisy or leaks sensitive data? (5) Missing cleanup commits I should make now? Output a short PASS / FAIL with a bullet list of required fixes. Prefer deleting dead test code over leaving it commented.",Cursor;Antigravity;Claude,Admin,2026-08-05,Engineering
PRM-015,Strip test scaffolding,AI Coding,Pre-prod checklist,"Remove all temporary testing scaffolding from the current work while keeping the real feature intact. Delete (do not comment out): debug prints, temporary asserts used only for manual verification, hard-coded test inputs, bypassed checks, and 'testing' branches. Restore production paths (env config, real validation, proper error handling). Summarize what you removed and what you kept. Ask me before changing anything that looks like intentional production behavior.",Cursor;Antigravity,Admin,2026-08-05,Engineering
PRM-016,Prod readiness after agent edits,AI Coding,Pre-prod checklist,"We used Cursor / Antigravity for this change and may have left experimental edits. Re-read the modified files end-to-end for production readiness. Check: unused imports left from experiments, duplicate logic from try-then-keep both versions, mismatched names after renames, incomplete renames, dead code paths, and any 'temporary' comments. Produce: (A) blockers to fix before deploy, (B) nice-to-fix, (C) a minimal cleanup patch plan in order. Be strict — false confidence causes production issues.",Cursor;Antigravity;Claude,Admin,2026-08-05,Engineering
